lambda,Test R2,Avg Features,EBIC,Stability,True Positive Rate
6.0,0.7634561657905579,146.8,6113.537082154506,0.1019961895656772,0.6923076923076923
5.0,0.7576989769935608,166.4,6315.018650716782,0.10189376534970934,0.6153846153846154
4.0,0.74490327835083,209.2,6792.8018134133545,0.07040737936912166,0.6153846153846154
3.0,0.7170931577682496,279.8,7599.113071886417,0.09039503267356302,0.7692307692307693
2.0,0.66744464635849,354.2,8439.42659775171,0.05806062093297093,0.9230769230769231
1.0,0.6368519783020019,429.8,9272.445549298976,0.01900039559250657,0.9230769230769231
0.5,0.5585913777351379,453.4,9570.547418089322,0.06094113006278345,0.9230769230769231
