lambda,Test R2,Avg Features,EBIC,BIC,Stability,MSE Mean
1.3,-0.037152552604675294,215.6,6067.212845495351,4715.59568672828,0.05278950183182357,404.5173706054687
1.1,-0.14812369346618653,247.4,6406.948025908432,4855.973605319502,0.026086336121611143,448.03367919921874
0.9,-0.2095024824142456,271.8,6697.221655200589,4993.2812852892275,0.04754569935999667,471.8199890136719
0.7,-0.15366005897521973,301.8,7073.374020752734,5181.360762330184,0.07974384531777651,450.4391235351562
0.5,-0.2639660596847534,321.6,7285.59084428637,5269.449479446436,0.12780884802798723,493.00071411132814
